message_id,cleaned_text,timeline
129446,هیچ‌کس تو دانشگاه بهت یاد نمی‌ده چطور اپلای کنی یا از کجا اخبار مهاجرتو دنبال کنی؛ این چیزا رو باید از کانال‌هایی مثل این یاد بگیری:,timeline_1
129449,"فکت:
۵۰ درصد از جذابیت شما بخاطر نحوه صحبت کردن و ارتباط گرفتن شماست.
^هات چاکلت",timeline_1
129451,مردم اپلای میکنن هاروارد قبول میشن، بعد من برای باشگاه کتاب‌خوانی درخواست دادم، رد شدم,timeline_1
129452,دوستم به بچه‌ش یاد داده که عضو خصوصیشو نباید غریبه‌ها ببینن و دست بزنن، بعد تو مهد، بچه‌ی همین دوستم به یکی دیگه از بچه‌ها اینو گفته و اضافه کرده تو چون دوستمی بیا بهت نشون میدم.,timeline_1
129453,"فکت:
رفتار فامیلاتون با شما، به میزان سطح مالیِ پدرتون بستگی داره.",timeline_1
129454,جدا من ترسیدم، از الان نه، از شدت فقری که چند ماه دیگه موجش میخوره تو صورتمون.,timeline_1
129370,"واقعیت اینه که من دیگه دوستی ندارم که بگه بیا بریم بیرون. آدم‌های نزدیکم رو معمولاً توی خونه می‌بینم. گاهی حتی یادم می‌ره برای بیرون رفتن باید چی رو با چی بپوشم.
رابطه‌ام با شهر و اجتماع تقریباً قطع شده.",timeline_1
129371,از اولشم معلوم بود دوست نداره‌ پاشو حالا غذای منو بده حداقل من سیر باشم.,timeline_1
129376,"پسره موقع خواب خیلی جدی گفت «مامان، این نهتاد و نه، دو تا نه داره؟» گفتم چی؟؟ گفت «نهتاد و نه دو تا نه داره؟ گفتم منظورت نود و نهه؟!» گفت آره و غش کرد از خنده :))))) مسخره‌ی ۴ ساله
^مارمی",timeline_1
129379,این دستمال یعنی رسما کارا تمومه. آشپزخونه تعطیله.,timeline_1
129380,وقتی بلیط ایران رو گرفتم با در نظر گرفتن اینکه احتمالن کنسل شه به خوانواده نگفتم. بعدش دیگه دیدم تا الان نگفتم، پلن سورپرایز ریختم. این وسط مامانم ی روز زنگ زد گفت میخای بیای ؟ گفتم نه چطور؟ گفت حسینِ مریم خانوم اینا خواب دیده اومدی!,timeline_1
129381,ینی هر کی بره طرف آشپزخونه خونش پای خودشه.,timeline_1
129383,"پسرولی پرسید ما فقیریم؟
-نه پسرم.
+پس چرا خونه مون استخر نداره؟
دیدم فرصت مناسبیه معیار های فقر و ثروت و اولویتهارو واسش توضیح بدم، یه ربعی رفتم رو منبر!! آخرش گفتم خب دیگه سوالی نداری؟
+چرا ما خونه استخردار نمیخریم؟
-چون پولمون نمیرسه!
+خب منم گفتم فقیریم شما قبول نکردی!!",timeline_1
129386,ارائه‌م بی‌نظیر بود؛ میخواستم بگم تنگه هرمز، گفتم هنگه ترمز.,timeline_1
129390,"نظر نامحبوب:
مردها بدون زن‌ها سخت‌‌تر دوام میارن، و بالعکس هم صادق نیست.",timeline_1
129391,زیبایی ببینید,timeline_1
129398,"کاسبی رسما تعطیله،مگر اینکه سرمایه زیاد داشته باشی
کارمندی فایده نداره
درس خوندن خوبه،ولی تا درختش میوه بده توی حداقل های زندگی میمونی و نمیشه تحمل کرد
جوون ایرانی چجوری میتونه روی پای خودش وایسه؟من نمیدونم.",timeline_1
129401,"بنده بدون داشتن ماشین، موتور، خر یا هر وسیله نقلیه دیگر و حتی یک متر زمین در این کشور جزء برخوردارترین دهک این جامعه هستم گویا.
خدایا شکرت.",timeline_1
129404,شما الان نمیفهمید چه بلایی سرتون داره میاد چون مثلا هنوز لباس زمستونیای سال قبلتون هست و نفهمید هر تیکه لباس زمستونیِ نه چندان با کیفیت، شده چهار پنج تومن‌. ما اون قورباغه ای هستیم که دمای آبشو کم کم زیاد میکنن و بدون اینکه بفهمه و تلاشی برای تغییر وضعیت بکنه، میمیره.,timeline_1
129405,"نظریه نامحبوب :
هیچ برنامه‌ای جز تلگرام مناسب چت کردن نیست.",timeline_1
129406,بدترین تجربه هر آدم.,timeline_1
129408,مشکلی که با این عکس دارم اینه که کفش خانوم باید رو باشه,timeline_1
